kategori,nama_wisata,latitude,longitude,alamat,provinsi,kota_kabupaten,nama_lengkap,path_gambar,deskripsi_bersih
air terjun,Air Terjun Bantimurung,-5.0165199,119.6855203,"Air Terjun Bantimurung, Jalan Poros Bantimurung, Maros, Jenetaesa, Sulawesi Selatan, Sulawesi, Indonesia",Sulawesi Selatan,Sulawesi,"Air Terjun Bantimurung, Sulawesi, Sulawesi Selatan",gambar_wisata/Air_Terjun_Bantimurung,air terjun bantimurung salah air terjun eksotisme objek wisata permandian air terjun andalan sulawesi selatan lokasi air terjun dusun bantimurung desa jenetaesa kecamatan simbang kabupaten maros provinsi sulawesi selatan indonesia
air terjun,Air Terjun Bidadari,-2.9283607,107.8390425,"Air Terjun Bidadari, Nyuruk, Belitung Timur, Kepulauan Bangka Belitung, Sumatera, Indonesia",Kepulauan Bangka Belitung,Belitung Timur,"Air Terjun Bidadari, Belitung Timur, Kepulauan Bangka Belitung",gambar_wisata/Air_Terjun_Bidadari,daftar lengkap dijadikan acuan
air terjun,Air Terjun Coban Rondo,-7.8847333,112.4769702,"Coban Rondo, Kabupaten Malang, Jawa Timur, Jawa, 65912, Indonesia",Jawa Timur,Kabupaten Malang,"Air Terjun Coban Rondo, Kabupaten Malang, Jawa Timur",gambar_wisata/Air_Terjun_Coban_Rondo,air terjun coban rondo air terjun terletak kecamatan pujon kabupaten malang jawa timur air terjun mudah dijangkau kendaraan
air terjun,Air Terjun Dolo,-7.8706373,111.8354398,"Air Terjun Dolo, Mojo, Kabupaten Kediri, Jawa Timur, Jawa, Indonesia",Jawa Timur,Kabupaten Kediri,"Air Terjun Dolo, Kabupaten Kediri, Jawa Timur",gambar_wisata/Air_Terjun_Dolo,air terjun dolo salah wisata air terjun terletak dusun besuki desa jugo kecamatan mojo kabupaten kediri jawa timur air terjun timur lereng gunung wilis meter memiliki ketinggian meter meter permukaan laut dpl
air terjun,Air Terjun Kedung Kayang,-7.5003922,110.3933888,"Air terjun kedung kayang, Jalan Raya Boyolali-Magelang, Wonodadi, Wonolelo, Sawangan, Magelang, Jawa Tengah, Jawa, 56481, Indonesia",Jawa Tengah,Magelang,"Air Terjun Kedung Kayang, Magelang, Jawa Tengah",gambar_wisata/Air_Terjun_Kedung_Kayang,kabupaten magelang bahasa jawa hanacaraka pegon translit mag lang wilayah kabupaten terletak provinsi jawa indonesia
air terjun,Air Terjun Matayangu,-9.6732857,119.5046953,"Air Terjun Matayangu, Sumba Tengah, Nusa Tenggara Timur, Nusa Tenggara, Indonesia",Nusa Tenggara Timur,Sumba Tengah,"Air Terjun Matayangu, Sumba Tengah, Nusa Tenggara Timur",gambar_wisata/Air_Terjun_Matayangu,daftar lengkap dijadikan acuan
air terjun,Air Terjun Moramo,-4.221149,122.7452422,"Moramo - air terjun, Konawe Selatan, Sulawesi Tenggara, Sulawesi, Indonesia",Sulawesi Tenggara,Konawe Selatan,"Air Terjun Moramo, Konawe Selatan, Sulawesi Tenggara",gambar_wisata/Air_Terjun_Moramo,air terjun moramo terletak kawasan hutan suaka alam tanjung peropa sulawesi tenggara air terjun bertingkat cascade indah ketinggian meter ketinggian air mengalir melewati tujuh tingkatan utama
air terjun,Air Terjun Sambangan,-8.1443829,115.100412,"Air Terjun Tembok Barak, Sambangan, Buleleng, Bali, Nusa Tenggara, 81118, Indonesia",Bali,Buleleng,"Air Terjun Sambangan, Buleleng, Bali",gambar_wisata/Air_Terjun_Sambangan,kabupaten buleleng bahasa bali kabupat bul salah kabupaten provinsi bali terletak utara barat timur pulau bali kotanya kota singaraja
air terjun,Air Terjun Sendang Gile,-8.3055561,116.4082776,"Air terjun Sendang Gile, Dusun Pawang Karya, Senaru, Lombok Utara, Nusa Tenggara Barat, Nusa Tenggara, Indonesia",Nusa Tenggara Barat,Lombok Utara,"Air Terjun Sendang Gile, Lombok Utara, Nusa Tenggara Barat",gambar_wisata/Air_Terjun_Sendang_Gile,air terjun sendang gile air terjun terletak desa senaru kecamatan bayan kabupaten lombok utara propinsi nusa tenggara barat tepatnya kawasan desa senaru kilometer desa bayan
air terjun,Air Terjun Sri Gethuk,-7.9432134,110.4895782,"Air Terjun Sri Gethuk, 052, Jatimulyo, Dlingo, Bantul, Daerah Istimewa Yogyakarta, Jawa, 55783, Indonesia",Daerah Istimewa Yogyakarta,Bantul,"Air Terjun Sri Gethuk, Bantul, Daerah Istimewa Yogyakarta",gambar_wisata/Air_Terjun_Sri_Gethuk,daerah istimewa yogyakarta disingkat yogyakarta diy daerah istimewa setingkat provinsi indonesia peleburan negara kesultanan yogyakarta negara kadipaten paku alaman kota kota yogyakarta daerah istimewa yogyakarta terletak selatan pulau jawa berbatasan provinsi jawa samudra hindia
